question|answer|context|language
¿Puedo ser considerado refugiado?|Para ser considerado refugiado, debe encontrarse fuera de su país por temor a ser perseguido por motivos no económicos (por ejemplo, de raza, religión, nacionalidad, pertenencia a un grupo social, opiniones políticas, género u orientación sexual)|True|Español
¿Puedo tener asilo o protección subsidiaria?|Podrías tenerlo si al regresar a tu país de origen tuvieras riesgo real de sufrir daños, aunque no seas refugiado.|True|Español
¿Puedo ser deportado o deportada si he solicitado asilo?|No. Hasta que haya una decisión definitiva, no se puede deportar a una persona que ha solicitado asilo.|True|Español
¿Dónde puedo solicitar asilo o protección internacional en España?|Puedes hacerlo en los puestos fronterizos, en aeropuertos y puertos internacionales. También en el CIE. Dentro del territorio español, en las comisarías de policía autorizadas, Oficinas de Extranjería y OAR (Oficina de Asilo y Refugio).|True|Español
¿Puedo solicitar asilo o protección internacional fuera de España?|Sí, es necesario que se dirija a las autoridades de la Representación diplomática española alegando un peligro para su integridad física. Los Embajadores respectivos podrán promover su traslado a España para permitir la presentación de su solicitud.|True|Español
¿Qué sucede al presentar la solicitud?|En el momento de efectuar la solicitud, la persona extranjera será informada, en una lengua que pueda comprender, acerca de: a) El procedimiento que debe seguirse y del carácter confidencial de éste. b) Sus derechos y obligaciones durante la tramitación, en especial en materia de plazos y medios. c) La posibilidad de contactar con el Alto Comisionado de las Naciones Unidas para los Refugiados y con las Organizaciones no Gubernamentales legalmente reconocidas entre cuyos objetivos figure el asesoramiento y ayuda a las personas necesitadas de protección internacional. d) Las posibles consecuencias del incumplimiento de sus obligaciones o de su falta de colaboración con las autoridades. e) Los derechos y prestaciones sociales a los que tiene acceso en su condición de solicitante de protección internacional.|True|Español
¿Qué pasa si no puedo ir presencialmente a hacer la solicitud?|Puede ir una persona como representante. En este último caso, la persona solicitante deberá ratificar la petición una vez desaparezca el impedimento.|True|Español
¿Dónde tengo que ir para obtener asistencia?|Los solicitantes de protección internacional tendrán derecho a asistencia sanitaria y a asistencia jurídica gratuita por parte del estado. A parte, hay organizaciones que proporcionan asistencia jurídica gratuita y orientación acerca del procedimiento de asilo español, así como servicios de asistencia social, búsqueda de empleo, vivienda… En este enlace puedes encontrar algunas ONG en las que puede encontrar ayuda y orientación: https://help.unhcr.org/spain/donde-encontrar-ayuda-espana/asistencia-legal/|True|Español
¿Cómo puedo reunirme con mi família si está en nuestro país de origen?|Si se le ha reconocido como refugiado o beneficiaria de protección subsidiaria, la Oficina de ACNUR en España podrá ayudar en función del país de origen en el que se encuentren los familiares y en los trámites necesarios para llevarla a cabo.|True|Español
¿Cómo puedo regresar a mi país de origen?|Si se le ha reconocido como refugiado o beneficiaria de protección subsidiaria, debe acudir a las autoridades españolas de asilo para recibir información de los trámites y programas existentes en España para el retorno voluntario.|True|Español
